cluster;customers;avg_recency;avg_frequency;avg_monetary;total_revenue
0;50746;128,07192685137744;1,0;113,37390375596107;5753272,12
1;37649;387,33822943504475;1,0;114,04970809317645;4293857,46
2;2189;237,68113293741433;1,0132480584741892;1142,0005664687073;2499839,24
3;2774;220,42141312184572;2,114275414563807;243,16124369142034;674529,29
